Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
TxOut/ada only/plutus-cbor,1.0136167680312993e-6,1.0103232376530897e-6,1.0185890531836654e-6,1.92923695452756e-8,1.396404658102683e-8,3.189880944301272e-8
TxOut/10 assets/plutus-cbor,9.116482400583786e-6,9.079818636616965e-6,9.169500751712568e-6,1.997715956990101e-7,1.4335228313150035e-7,2.9390059722603995e-7
TxOut/20 assets/plutus-cbor,2.149997595050364e-5,2.142702364470589e-5,2.1603364890792637e-5,4.088029421749241e-7,3.040237008537477e-7,5.400289312922103e-7
TxOut/30 assets/plutus-cbor,3.722328333124476e-5,3.707763865289536e-5,3.754605820777925e-5,8.986422664250917e-7,5.375118019446075e-7,1.5858385251727115e-6
TxOut/40 assets/plutus-cbor,5.656054060936559e-5,5.6200209691064125e-5,5.770012400607188e-5,2.761267938337988e-6,1.0239901085086693e-6,5.6452274058736424e-6
TxOut/50 assets/plutus-cbor,9.018291651939805e-5,8.960061386234245e-5,9.148665233537232e-5,3.9173693235199e-6,2.1595502700201923e-6,7.0884923512940075e-6
TxOut/60 assets/plutus-cbor,1.6148697636997482e-4,1.6095521608387283e-4,1.6230750219355447e-4,2.8434533183493675e-6,2.186023436672544e-6,4.391229987499837e-6
TxOut/70 assets/plutus-cbor,2.5240849430022805e-4,2.5148344955375755e-4,2.544283702963157e-4,5.803058110605214e-6,4.09466038230498e-6,9.63407397777194e-6
TxOut/80 assets/plutus-cbor,3.444794266104477e-4,3.418865573445342e-4,3.5380483063317253e-4,2.0332856272269867e-5,5.160479025807508e-6,4.303947234092407e-5
TxOut/90 assets/plutus-cbor,4.4078896267176523e-4,4.3918378307259814e-4,4.4286016605449367e-4,8.189390215288336e-6,6.607705004048354e-6,1.0149125607122577e-5
TxOut/100 assets/plutus-cbor,4.939040713952826e-4,4.921521447610259e-4,4.961673361659078e-4,9.468115034249846e-6,8.313028779034003e-6,1.1073583506741833e-5
TxOut/110 assets/plutus-cbor,5.352366101003459e-4,5.337825633923962e-4,5.376512030112923e-4,8.095320651872379e-6,5.863257420385941e-6,1.1092237430418366e-5
TxOut/120 assets/plutus-cbor,5.905156775288782e-4,5.887293793008871e-4,5.930944537368559e-4,9.15165387071299e-6,7.034239161349837e-6,1.2878562721212486e-5
TxOut/130 assets/plutus-cbor,8.716853316915454e-4,8.692902741588943e-4,8.753934561427863e-4,1.3253515790010981e-5,9.877040692315484e-6,1.7631855225886465e-5
TxOut/140 assets/plutus-cbor,9.322240096113476e-4,9.295153766678964e-4,9.363758882372148e-4,1.5372794389945647e-5,1.1336019061232039e-5,2.3898028148623512e-5
TxOut/150 assets/plutus-cbor,1.2141797587492747e-3,1.2098822012711911e-3,1.2208934458395133e-3,2.4529039898767702e-5,1.628570926644181e-5,3.80080605417473e-5
