# Plutus Core cost model benchmark results
# Started at 2022-03-24 14:50:55.153555261 UTC
Benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
EqualsData/listB/EqualsData/ExMemory 4/ExMemory 4,6.420159979114048e-7,6.400457564689509e-7,6.46273810828577e-7,8.976936448992307e-9,3.876453699978152e-9,1.790389663258701e-8
EqualsData/listB/EqualsData/ExMemory 13/ExMemory 13,7.532484010989635e-7,7.491098963856217e-7,7.581543921144241e-7,1.521190781150441e-8,1.1692676093495786e-8,1.9993872896720405e-8
EqualsData/listB/EqualsData/ExMemory 15/ExMemory 15,7.933412073653821e-7,7.90631088023483e-7,7.982213008086528e-7,1.2326365070749325e-8,7.85761954294853e-9,1.828818541996361e-8
EqualsData/listB/EqualsData/ExMemory 40/ExMemory 40,9.900599754256519e-7,9.84988418025581e-7,1.0005437833696493e-6,2.3472300331438807e-8,1.3760927305338413e-8,4.304628995505604e-8
EqualsData/listB/EqualsData/ExMemory 17/ExMemory 17,7.977250557370855e-7,7.952650652888355e-7,8.050977869493611e-7,1.3007761382851537e-8,5.670186872975078e-9,2.4575362982956413e-8
EqualsData/listB/EqualsData/ExMemory 76/ExMemory 76,1.270504718074705e-6,1.2610060247222314e-6,1.2927927825466609e-6,4.282563901726074e-8,2.5913058173551377e-8,7.966465274535184e-8
EqualsData/listB/EqualsData/ExMemory 31/ExMemory 31,9.168015873911187e-7,9.126105052356051e-7,9.317517054543313e-7,2.176807441775467e-8,7.32205074114655e-9,4.633500003917363e-8
EqualsData/listB/EqualsData/ExMemory 53/ExMemory 53,1.1043634207303855e-6,1.097786932978632e-6,1.1201972976260786e-6,3.1152952032172216e-8,1.9613796679321718e-8,5.338516992094199e-8
EqualsData/listB/EqualsData/ExMemory 57/ExMemory 57,1.096260700344142e-6,1.0912298017515751e-6,1.1055147030430544e-6,2.2042525087629765e-8,1.198345142123642e-8,4.035516273119514e-8
EqualsData/listB/EqualsData/ExMemory 30/ExMemory 30,9.217814033920383e-7,9.157012725673954e-7,9.369537215960198e-7,3.005901293336123e-8,1.6402624345382483e-8,5.513110491640177e-8
EqualsData/listB/EqualsData/ExMemory 20/ExMemory 20,7.966407083698798e-7,7.926380833802457e-7,8.055569026273313e-7,1.8715032202004433e-8,9.859150869789403e-9,3.3655097874641523e-8
EqualsData/listB/EqualsData/ExMemory 33/ExMemory 33,9.285269586030529e-7,9.182409130606549e-7,9.600882198727364e-7,5.7581322229513445e-8,1.8965648724546814e-8,1.1723954667325799e-7
EqualsData/listB/EqualsData/ExMemory 50/ExMemory 50,1.0963897268863192e-6,1.0903758192455087e-6,1.106934397792284e-6,2.596438066351922e-8,1.563173533440838e-8,3.8592308501933154e-8
EqualsData/listB/EqualsData/ExMemory 43/ExMemory 43,1.0643196779420426e-6,1.0554132921701037e-6,1.08972531299843e-6,4.671665841500069e-8,1.779180289522004e-8,9.368912392340126e-8
EqualsData/listB/EqualsData/ExMemory 68/ExMemory 68,1.2597637784672544e-6,1.2518014478430638e-6,1.2747876146873704e-6,3.6045706749660365e-8,2.000194884648211e-8,5.8646534843343774e-8
EqualsData/listB/EqualsData/ExMemory 69/ExMemory 69,1.2356519817340594e-6,1.2170006796643e-6,1.307319908011418e-6,1.1032654019856581e-7,2.0457793847804687e-8,2.292013176131253e-7
