# Plutus Core cost model benchmark results
# Started at 2022-03-24 20:20:36.366803426 UTC
Benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
EqualsData/listB/EqualsData/ExMemory 4/ExMemory 4,6.417121854387016e-7,6.397904849465485e-7,6.491307831680446e-7,1.0801120359768731e-8,4.33714509251819e-9,2.144464533967473e-8
EqualsData/listB/EqualsData/ExMemory 46/ExMemory 46,8.5397747568644e-7,8.471999703148698e-7,8.713977664240886e-7,3.559131225665155e-8,1.5382554146061335e-8,7.087591300965178e-8
EqualsData/listB/EqualsData/ExMemory 46/ExMemory 46,8.4566850776761e-7,8.423824491449536e-7,8.583335255175507e-7,1.799585221562351e-8,6.513900302822846e-9,3.887257889744284e-8
EqualsData/listB/EqualsData/ExMemory 102/ExMemory 102,1.0992459438003526e-6,1.0891191946322544e-6,1.1232461080570628e-6,5.0039833005287616e-8,2.5390859175004955e-8,9.350552973345769e-8
EqualsData/listB/EqualsData/ExMemory 116/ExMemory 116,1.13655112846918e-6,1.1303253714088906e-6,1.1516191167587128e-6,3.138346918474088e-8,1.4572102982917413e-8,5.988716963799886e-8
EqualsData/listB/EqualsData/ExMemory 32/ExMemory 32,7.887679508347097e-7,7.848078053695332e-7,7.93884634781491e-7,1.5037555861962693e-8,1.1615301960410157e-8,1.748409961938079e-8
EqualsData/listB/EqualsData/ExMemory 74/ExMemory 74,9.890962107883994e-7,9.837688949716248e-7,1.0062323870059441e-6,3.0326960234374326e-8,1.0564753725321525e-8,6.061985191302507e-8
EqualsData/listB/EqualsData/ExMemory 102/ExMemory 102,1.1039558660327513e-6,1.0994641183513663e-6,1.1088812393305907e-6,1.6555426880769302e-8,1.428756133618691e-8,1.9742932264248917e-8
EqualsData/listB/EqualsData/ExMemory 18/ExMemory 18,7.442001617267443e-7,7.385045401579405e-7,7.701822576622892e-7,3.267902286964263e-8,8.180406854941867e-9,7.336122741797106e-8
EqualsData/listB/EqualsData/ExMemory 4/ExMemory 4,6.526456213539104e-7,6.504849108427463e-7,6.562097026068897e-7,9.580074525420646e-9,6.28564634924153e-9,1.3688636436348698e-8
