Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Nop1/ExMemory 1,7.497032960519593e-7,7.382657656709703e-7,7.665014144854284e-7,7.000788692014627e-8,5.3847664915392244e-8,1.0197348011410244e-7
Nop2/ExMemory 1/ExMemory 1,9.735935473085384e-7,9.488924017083638e-7,1.0048892762618365e-6,1.289984334651831e-7,1.0714455520128638e-7,1.6071539369815843e-7
Nop3/ExMemory 1/ExMemory 1/ExMemory 1,1.1866181733946188e-6,1.1434907627466512e-6,1.2311506308183677e-6,2.0901573861639485e-7,1.8304824376453958e-7,2.4427072879300114e-7
Nop4/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.2585019174537418e-6,1.2298966809011737e-6,1.2789143029152167e-6,1.202747688967713e-7,1.010053349609802e-7,1.5188578325566074e-7
Nop5/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.3129937536698174e-6,1.2890882644175115e-6,1.3478570999714773e-6,1.2609829418474691e-7,1.1611280540522756e-7,1.4035340091361859e-7
Nop6/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.788816084818791e-6,1.753034841769457e-6,1.8302432904558267e-6,1.5145785542788498e-7,1.1790555574597085e-7,1.9517877099991555e-7
Nop1a/ExMemory 1,6.557776809689757e-7,6.383756204114177e-7,6.794421954908998e-7,8.625728057618087e-8,7.170816250571185e-8,1.0385160804158945e-7
Nop2a/ExMemory 1/ExMemory 1,7.765414975500168e-7,7.602882784135961e-7,7.96378687481384e-7,7.944967674017855e-8,6.766480484517561e-8,9.480409252613631e-8
Nop3a/ExMemory 1/ExMemory 1/ExMemory 1,9.335397142153836e-7,9.13707612330977e-7,9.622570997651297e-7,9.861534092079501e-8,8.730431934181336e-8,1.1854870057741486e-7
Nop4a/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.1115588665142313e-6,1.0773858648718839e-6,1.1654490970443377e-6,1.976892009807433e-7,1.5423077932350382e-7,2.5385688255813885e-7
Nop5a/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.3536220138492725e-6,1.320357400852455e-6,1.413740944523016e-6,2.2150304524740466e-7,1.4173577544389788e-7,3.5996052265054633e-7
Nop6a/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.4253406549084801e-6,1.3900182497810705e-6,1.4869480922023122e-6,2.0136965470615863e-7,1.3458430060724137e-7,3.740399468291095e-7
Nop1z/ExMemory 1,6.181507321726522e-7,5.98609971520847e-7,7.045430709832616e-7,1.6335072484734788e-7,5.897335476532752e-8,3.6499405857781125e-7
Nop2z/ExMemory 1/ExMemory 1,7.745667771852419e-7,7.594683470700342e-7,7.895013007903322e-7,6.859192318795113e-8,6.017215729561446e-8,7.78498794701219e-8
Nop3z/ExMemory 1/ExMemory 1/ExMemory 1,9.788452973842613e-7,9.64909724603679e-7,1.0026011668199738e-6,9.095901870081084e-8,6.495990157162342e-8,1.3660049914523624e-7
Nop4z/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.0373268559116513e-6,1.0163484869201408e-6,1.0736595867677813e-6,1.1234433562913904e-7,8.174046239242316e-8,1.7934412570362217e-7
Nop5z/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.268840812699737e-6,1.2248746764805603e-6,1.3806282549291013e-6,2.7776139972934043e-7,1.4437825590623396e-7,5.253679669308473e-7
Nop6z/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.4235681604422782e-6,1.4011610642917408e-6,1.460966277555881e-6,1.5545489487391939e-7,1.299162727353993e-7,1.9551453707644594e-7
