Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
SerialiseData/ExMemory 5,1.0895101587463723e-6,1.0730208688514312e-6,1.1109165831466855e-6,6.465934049634156e-8,4.605246050789346e-8,9.179146762331382e-8
SerialiseData/ExMemory 5,1.2165119152264232e-6,1.1870053905739244e-6,1.253708509495169e-6,1.0863641898352109e-7,8.204347138406973e-8,1.489861958007559e-7
SerialiseData/ExMemory 5,1.1152717941675483e-6,1.093919681516585e-6,1.1501359968129762e-6,8.955158474743022e-8,5.037441800835165e-8,1.3480931306995552e-7
SerialiseData/ExMemory 5,1.1674997603640478e-6,1.1298437406520218e-6,1.223964943574892e-6,1.5948202099521836e-7,1.1971314054075747e-7,2.2600500524501104e-7
SerialiseData/ExMemory 5,1.2492419512762857e-6,1.2040681006457736e-6,1.3123528742388833e-6,1.6317648215512393e-7,1.353893471804186e-7,2.1617565114179506e-7
SerialiseData/ExMemory 5,1.1100214854549281e-6,1.0919612590231334e-6,1.1424679557953292e-6,7.875848426125116e-8,3.523035671879221e-8,1.2390184586515923e-7
SerialiseData/ExMemory 5,1.1183650216893718e-6,1.0946806444748657e-6,1.1526601446467093e-6,9.30468460520952e-8,5.4422406437133964e-8,1.3449965282653507e-7
SerialiseData/ExMemory 5,1.1419501368907657e-6,1.109579953226912e-6,1.1887572825042897e-6,1.3182134613504343e-7,8.143265125506002e-8,2.0349493014811358e-7
SerialiseData/ExMemory 5,1.1914856072679901e-6,1.1701296853507132e-6,1.2310701694762621e-6,1.0026457881431297e-7,7.013886104864585e-8,1.462604014276411e-7
SerialiseData/ExMemory 5,1.1502978752115158e-6,1.1212015653213004e-6,1.2064967632193466e-6,1.395359453247788e-7,7.964983390242597e-8,2.3072274088065508e-7
SerialiseData/ExMemory 5,1.1747721186401486e-6,1.1339262291090295e-6,1.2244286849229686e-6,1.5931455649137165e-7,1.2551365494440408e-7,2.1346757518700625e-7
SerialiseData/ExMemory 5,1.1183480113836464e-6,1.0990913854823583e-6,1.1571638892779317e-6,9.281016542552064e-8,4.681486617082884e-8,1.7416341320947078e-7
SerialiseData/ExMemory 5,1.1852909812074573e-6,1.1635383163489444e-6,1.2268276889886339e-6,9.888204802801031e-8,5.494846444694143e-8,1.6034459540550388e-7
SerialiseData/ExMemory 4,1.2104483101045154e-6,1.1725287748112765e-6,1.3136160636783787e-6,2.1001283895097984e-7,5.970730417628072e-8,3.8511189426868687e-7
SerialiseData/ExMemory 5,1.2146564044227273e-6,1.1850376178733448e-6,1.2749608348246068e-6,1.2727522636770495e-7,9.079985000506247e-8,1.8948014372516432e-7
SerialiseData/ExMemory 5,1.2675543317632963e-6,1.194531454453666e-6,1.5190983469689143e-6,4.237777537778013e-7,8.585860359604831e-8,8.849501910089536e-7
SerialiseData/ExMemory 5,1.110051190926054e-6,1.087255270055632e-6,1.140127748084444e-6,9.045568603523301e-8,5.358531223697992e-8,1.4380474906052868e-7
