Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
SerialiseData/ExMemory 5,1.361491886163169e-6,1.3049257064109023e-6,1.5549020673707852e-6,4.1417869062024324e-7,1.743095195710391e-7,7.446382057183928e-7
SerialiseData/ExMemory 5,1.1223554152593653e-6,1.1168211192859008e-6,1.1355690360109929e-6,3.0380676057101206e-8,1.6760615025594705e-8,4.985663940730794e-8
SerialiseData/ExMemory 5,1.1763018803653915e-6,1.1463536928980136e-6,1.2212238843762227e-6,1.1548229733084358e-7,7.881467703473883e-8,1.7090564851311816e-7
SerialiseData/ExMemory 5,1.1157228438518197e-6,1.1110535169895068e-6,1.1288248463312088e-6,2.6669674479565668e-8,1.0695892345670077e-8,4.770635037833726e-8
SerialiseData/ExMemory 5,1.2125455200084606e-6,1.1791327661697508e-6,1.2538145241225038e-6,1.2612907971440204e-7,1.0789563740325422e-7,1.5386295415203262e-7
SerialiseData/ExMemory 5,1.1683194357075946e-6,1.141511399693162e-6,1.2034992385618183e-6,1.000660102637837e-7,6.691530383946376e-8,1.3061761573072812e-7
SerialiseData/ExMemory 4,1.2105869253598454e-6,1.1907240388076557e-6,1.2500661483679947e-6,9.301381512039988e-8,6.088434923958334e-8,1.495769126440245e-7
SerialiseData/ExMemory 4,1.2112709126796602e-6,1.188765821260491e-6,1.245698178582397e-6,9.796964300482402e-8,7.334961735665866e-8,1.3773321678258139e-7
SerialiseData/ExMemory 5,1.2206941379618701e-6,1.1862419027912911e-6,1.2688968314477614e-6,1.3320302047601234e-7,1.0809446856190908e-7,1.7211781974041555e-7
SerialiseData/ExMemory 5,1.1186952920938937e-6,1.112665083063985e-6,1.1418566974427246e-6,3.5784552123676355e-8,6.647091821534449e-9,8.07362357148722e-8
SerialiseData/ExMemory 5,1.1658282314249735e-6,1.154031348257121e-6,1.208161422717135e-6,6.034161699290398e-8,2.409452742138184e-8,1.2656665284317572e-7
